VendorNumber,VendorName,PurchaseAmount,PurchaseQty,AvgPurchasePrice,ContributionPct
7255,PSP WINES ,128895.69,16493,7.569661277906081,0.04004205761604111
7749,R.P.IMPORTS INC            ,18776.87,498,42.20041095890411,0.005833123748272063
8004,SAZERAC CO INC             ,9916770.26,1417727,10.054367313740375,3.0806917292266562
8112,MOET HENNESSY USA INC      ,9472995.2,427867,29.689921460628312,2.9428309014434917
8150,SEA HAGG DISTILLERY LLC    ,188044.46,15412,12.848402366863905,0.05841690363500392
8320,SHAW ROSS INT L IMP LTD    ,624979.64,69127,10.40605482717521,0.19415289024584634
8352,LUXCO INC                  ,2051436.01,283260,9.741419379258137,0.6372883290980598
8663,STAR INDUSTRIES INC.       ,2452.29,151,15.90764705882353,0.000761815522856051
8664,"STOLI GROUP,(USA) LLC      ",3666478.72,314035,16.864493090710084,1.1390090091781089
8673,STE MICHELLE WINE ESTATES  ,3086650.7,419822,7.769933741983489,0.9588826838972944
8735,SURVILLE ENTERPRISES CORP  ,51325.77,6504,8.789880239520958,0.015944593954442345
8892,TRINCHERO FAMILY ESTATES   ,2252211.31,352526,6.232757356256199,0.6996601285777626
8920,TAKARA SAKE USA INC        ,45289.34,9066,7.19484396200814,0.014069348336414315
9099,TRUETT HURST               ,236.64,24,9.86,7.351333868696439e-05
9165,ULTRA BEVERAGE COMPANY LLP ,13210613.93,1077527,15.810002379989053,4.103939892236391
9206,PHILLIPS PRODUCTS CO.      ,430945.89,40054,12.504920698654889,0.13387538525745987
9260,TY KU LLC                  ,38921.47,3003,13.107091633466135,0.012091139309941363
9552,M S WALKER INC             ,10935817.3,1372841,8.68066999432584,3.397263526849495
9622,WEIN BAUER INC             ,43517.0,3014,16.942064676616912,0.013518762506933018
9625,WESTERN SPIRITS BEVERAGE CO,361249.21,56860,12.819943805191329,0.11222378095473429
9744,FREDERICK WILDMAN & SONS   ,759449.24,70932,11.46465528894897,0.23592650944759003
9751,VINEDREA WINES LLC         ,4657.599999999999,205,22.72,0.0014469055369692584
9815,WINE GROUP INC             ,5258636.79,888385,7.186432623979794,1.633620467270965
9819,TREASURY WINE ESTATES      ,2978686.4,497770,6.098832092929699,0.9253430618891763
10000,MAJESTIC FINE WINES        ,3506668.63,446119,8.22628882532992,1.0893632465354268
10050,Russian Standard Vodka     ,138907.27,12798,13.450226928895614,0.043152202440802936
10754,PERFECTA WINES             ,5665501.53,553116,12.378172622670494,1.7600149290331515
11567,CAMPARI AMERICA            ,4141720.71,501284,15.608735588009223,1.286645188053772
12331,STELLAR IMPORTING CO LLC   ,24560.08,3104,7.677066666666667,0.0076297053719529264
12546,JIM BEAM BRANDS COMPANY    ,24203151.05,2737165,12.880279562982006,7.518823700263725
17031,FLAG HILL WINERY & VINEYARD,300403.2,20608,15.42556330472103,0.09332167927758579
17032,JEWELL TOWNE VINEYARDS     ,54332.37,6630,8.190893470790378,0.01687860850860152
17033,SEA BREEZE CELLARS LLC     ,108948.09,8473,14.93959390862944,0.03384524103899543
17035,PERNOD RICARD USA          ,24124091.56,1647558,18.605831134074265,7.494263494614685
17037,Dunn Wine Brokers          ,72055.3,5448,14.010479233226837,0.02238432079568469
28750,SMOKY QUARTZ DISTILLERY LLC,69803.71,3197,21.82297101449275,0.0216848536800061
28776,TALL SHIP DISTILLERY LLC   ,48445.58,2236,21.43460966542751,0.015049849266507894
90010,VINEXTRA INC               ,102639.51,8530,11.682683229813664,0.03188545073231097
90011,FORTUNE WINE BROKERS LLC   ,46940.17,5072,10.363333333333335,0.014582186507917873
90017,THE IMPORTED GRAPE LLC     ,16093.77,2280,7.23046875,0.004999606003888214
90024,VINILANDIA USA             ,548855.37,59428,9.366863566233194,0.1705045246153193
90026,SILVER MOUNTAIN CIDERS     ,77.17999999999999,17,4.54,2.397633316370821e-05
90027,POVERTY LANE ORCHARDS      ,45269.01,5872,7.713468085106383,0.014063032725463057
90032,LABELLE VYDS AND WINERY    ,146839.55,12855,11.385788973384031,0.04561640285577857
90033,FANTASY FINE WINES CORP    ,128.64,24,5.36,3.996262630447557e-05
90037,THE PIERPONT GROUP LLC     ,5713.19,580,11.363709677419354,0.0017748295784862156
90046,CANDIA VINEYARDS           ,36588.01,2609,13.883628318584073,0.011366238890348377
90047,CRUSH WINES                ,287189.9,26349,12.39818093385214,0.08921690494496043
90051,FULCHINO VINEYARD INC      ,11147.77,949,11.776891891891893,0.0034631076386679384
90052,HAUNTING WHISPER VYDS      ,5388.58,669,8.069827586206896,0.0016739879419447369
90053,INCREDIBREW INC            ,24525.84,2786,8.807012987012987,0.0076190685535087
90056,SWEET BABY VINEYARD        ,140577.9,16805,8.36394113424264,0.04367119157624329
90057,WALPOLE MTN VIEW WINERY    ,9292.31,805,11.52918918918919,0.002886700186841895
90058,ZORVINO VINEYARDS          ,86122.71,10550,8.176139954853273,0.026754428451949013
90059,BLACK COVE BEVERAGES       ,14465.06,919,15.740000000000002,0.004493639515328183
98450,Serralles Usa LLC          ,168993.61,10463,14.83107355864811,0.05249866669989339
99166,STARK BREWING COMPANY      ,25961.04,1212,21.42,0.008064920242502664
172662,SWEETWATER FARM         ,34708.03,1629,21.097785234899327,0.010782214184192531
173357,TAMWORTH DISTILLING        ,41036.44,1990,20.88124183006536,0.012748164774456106
201359,FLAVOR ESSENCE INC         ,17.0,1,17.0,5.281130652799166e-06
